time, dist, trdist, phase, tmin, tmax, type, sf, vf, C0, C1, C2, C3, C4, C5, T, req_acc, acc, req_vel, vel;
0.049, 0, 160, 2, 0, 0, 1, 50, 20, 0, -8.83774e-08, -1.76755e-06, 7.28178, -4.66034, 0.994205, 4.6875, 0.358295, -1.76755e-06, 0.00900522, -8.83774e-08;
0.099, 6.95887e-05, 160, 2, 0, 0, 1, 50, 20, 0, 0.00432572, 0.0865161, 7.22728, -4.64991, 0.994675, 4.6748, 0.713877, 0.0865161, 0.017589, 0.00432572;
0.149, 0.000576501, 159.999, 2, 0, 0, 1, 50, 20, 0, 0.020249, 0.318466, 7.07928, -4.62097, 0.995786, 4.64053, 1.0621, 0.318466, 0.0449255, 0.020249;
0.199, 0.00209431, 159.998, 2, 0, 0, 1, 50, 20, 0, 0.056588, 0.726779, 6.80996, -4.56376, 0.996271, 4.58084, 1.39692, 0.726779, 0.101345, 0.056588;
0.249, 0.00512897, 159.995, 2, 0, 0, 1, 50, 20, 0, 0.0832423, 0.533087, 6.94977, -4.6078, 1.00164, 4.60024, 1.73868, 0.533087, 0.118488, 0.0832423;
0.299, 0.0109625, 159.989, 2, 0, 0, 1, 50, 20, 0, 0.238384, 3.10283, 4.9849, -3.99542, 0.9321, 4.28648, 1.98296, 3.10283, 0.399673, 0.238384;
0.349, 0.019543, 159.98, 2, 0, 0, 1, 50, 20, 0, 0.266936, 0.571042, 6.96573, -4.66507, 1.02303, 4.56003, 2.32545, 0.571042, 0.304098, 0.266936;
0.399, 0.0305128, 159.969, 2, 0, 0, 1, 50, 20, 0, 0.336387, 1.38903, 6.3829, -4.51342, 1.01423, 4.45009, 2.63898, 1.38903, 0.413723, 0.336387;
0.449, 0.0453073, 159.955, 2, 0, 0, 1, 50, 20, 0, 0.444804, 2.16834, 5.78535, -4.33707, 0.997751, 4.34684, 2.92286, 2.16834, 0.560363, 0.444804;
0.499, 0.0650237, 159.935, 2, 0, 0, 1, 50, 20, 0, 0.566577, 2.43546, 5.57776, -4.28712, 0.997112, 4.29954, 3.19642, 2.43546, 0.695233, 0.566577;
0.549, 0.0903433, 159.91, 2, 0, 0, 1, 50, 20, 0, 0.687032, 2.4091, 5.61139, -4.32486, 1.00986, 4.28262, 3.47162, 2.4091, 0.814412, 0.687032;
0.599, 0.121983, 159.878, 2, 0, 0, 1, 50, 20, 0, 0.805964, 2.37864, 5.64812, -4.36356, 1.02276, 4.26645, 3.7486, 2.37864, 0.931866, 0.805964;
0.649, 0.160957, 159.839, 3, 0, 0, 1, 50, 20, 0, 0.930496, 2.49063, 5.56284, -4.35635, 1.02847, 4.23578, 4.02133, 2.49063, 1.06189, 0.930496;
0.699, 0.20856, 159.791, 3, 0, 0, 1, 50, 20, 0, 1.07154, 2.82097, 5.28258, -4.27236, 1.02138, 4.18292, 4.28015, 2.82097, 1.21911, 1.07154;
0.749, 0.266178, 159.734, 3, 0, 0, 1, 50, 20, 0, 1.23433, 3.25573, 4.89416, -4.13948, 1.0048, 4.11968, 4.51971, 3.25573, 1.40315, 1.23433;
0.799, 0.335091, 159.665, 3, 0, 0, 1, 50, 20, 0, 1.41858, 3.68495, 4.49097, -3.99289, 0.984267, 4.05671, 4.7393, 3.68495, 1.60836, 1.41858;
0.849, 0.416326, 159.584, 3, 0, 0, 1, 50, 20, 0, 1.64561, 4.54073, 3.63697, -3.62626, 0.916194, 3.95796, 4.91665, 4.54073, 1.87712, 1.64561;
0.899, 0.51046, 159.49, 3, 0, 0, 1, 50, 20, 0, 1.95068, 5, 3.13361, -3.41421, 0.878941, 3.88446, 5, 5, 2.20453, 1.95068;
0.949, 0.617617, 159.382, 3, 0, 0, 1, 50, 20, 0, 2.27904, 5, 3.09439, -3.43144, 0.89294, 3.84285, 5, 5, 2.53283, 2.27904;
0.999, 0.737817, 159.262, 3, 0, 0, 1, 50, 20, 0, 2.5951, 5, 3.05176, -3.44386, 0.905431, 3.80356, 5, 5, 2.84884, 2.5951;
1.049, 0.871116, 159.129, 3, 0, 0, 1, 50, 20, 0, 2.88314, 5, 3.00865, -3.45145, 0.915895, 3.76839, 5, 5, 3.13683, 2.88314;
1.099, 1.01758, 158.982, 3, 0, 0, 1, 50, 20, 0, 3.14075, 5, 2.96656, -3.45508, 0.924452, 3.73743, 5, 5, 3.39438, 3.14075;
